index,marker,dominant_relay
0,41,R4
1,41,R2
2,41,R2
3,41,R1
4,41,R3
5,41,R2
6,41,R2
7,41,R2
8,41,R2
9,41,R1
10,41,R3
11,41,R1
12,41,R2
13,41,R2
14,41,R3
15,41,R3
16,41,R2
17,41,R2
18,41,R2
19,41,R2
20,41,R2
21,41,R3
22,41,R3
23,41,R2
24,41,R2
25,41,R2
26,41,R2
27,41,R2
28,41,R3
29,41,R4
30,41,R4
31,41,R4
32,41,R4
33,41,R4
34,41,R3
35,41,R2
36,41,R3
37,41,R2
38,41,R2
39,41,R2
40,41,R3
41,41,R3
42,41,R2
43,41,R3
44,41,R4
45,41,R2
46,41,R3
47,41,R2
48,41,R2
49,41,R2
50,41,R4
51,41,R4
52,41,R1
53,41,R1
54,41,R4
55,41,R1
56,41,R1
57,41,R3
58,41,R2
59,41,R4
60,41,R3
61,41,R1
62,41,R2
63,41,R2
64,41,R2
65,41,R2
66,41,R3
67,41,R1
68,41,R1
69,41,R1
70,41,R1
71,41,R1
72,41,R1
73,41,R1
74,41,R1
75,41,R1
76,41,R1
77,41,R1
78,41,R1
79,41,R1
80,41,R1
81,41,R3
82,41,R4
83,41,R4
84,41,R2
85,41,R3
86,41,R4
87,41,R1
88,41,R2
89,41,R3
90,41,R3
91,41,R2
92,41,R2
93,41,R2
94,41,R3
95,41,R1
96,41,R2
97,41,R1
98,41,R1
99,41,R1
100,41,R1
101,41,R1
102,41,R1
103,41,R1
104,41,R1
105,41,R1
106,41,R1
107,41,R2
108,41,R1
109,41,R1
110,41,R1
111,41,R1
112,41,R1
113,41,R1
114,41,R1
115,41,R1
116,41,R1
117,41,R1
118,41,R4
119,41,R4
120,41,R4
121,41,R4
122,41,R4
123,41,R4
124,41,R4
125,41,R4
126,41,R4
127,41,R1
128,41,R4
129,41,R4
130,41,R4
131,41,R4
132,41,R4
133,41,R4
134,41,R4
135,41,R4
136,41,R4
137,41,R4
138,41,R4
139,41,R4
140,41,R4
141,41,R4
142,41,R4
143,41,R4
144,41,R4
145,41,R4
146,41,R3
147,41,R2
148,41,R4
149,41,R3
150,41,R2
151,41,R3
152,41,R2
153,41,R1
154,41,R1
155,41,R4
156,41,R4
157,41,R4
158,41,R4
159,41,R4
160,41,R4
161,41,R4
162,41,R3
163,41,R1
164,41,R1
165,41,R4
166,41,R4
167,41,R4
168,41,R4
169,41,R4
170,41,R1
171,41,R1
172,41,R1
173,41,R1
174,41,R4
175,41,R4
176,41,R4
177,41,R4
178,41,R4
179,41,R4
180,41,R4
181,41,R4
182,41,R4
183,41,R1
184,41,R1
185,41,R4
186,41,R4
187,41,R4
188,41,R4
189,41,R4
190,41,R4
191,41,R4
192,41,R4
193,41,R4
194,41,R4
195,41,R4
196,41,R4
197,41,R4
198,41,R4
199,41,R4
200,41,R4
201,41,R4
202,41,R4
203,41,R4
204,41,R4
205,41,R4
206,41,R4
207,41,R4
208,41,R4
209,41,R4
210,41,R2
211,41,R3
212,41,R1
213,41,R1
214,41,R1
215,41,R1
216,41,R1
217,41,R1
218,41,R3
219,41,R3
220,41,R3
221,41,R3
222,41,R3
223,41,R3
224,41,R3
225,41,R3
226,41,R2
227,41,R3
228,41,R3
229,41,R3
230,41,R3
231,41,R3
232,41,R3
233,41,R3
234,41,R2
235,41,R3
236,41,R3
237,41,R3
238,41,R3
239,41,R3
240,41,R3
241,41,R2
242,41,R3
243,41,R2
244,41,R3
245,41,R2
246,41,R4
247,41,R4
248,41,R4
249,41,R4
250,41,R3
251,41,R2
252,41,R2
253,41,R3
254,41,R2
255,41,R4
256,41,R4
257,41,R4
258,41,R4
259,41,R3
260,41,R2
261,41,R3
262,41,R3
263,41,R4
264,41,R4
265,41,R4
266,41,R4
267,41,R2
268,41,R4
269,41,R3
270,40,R4
271,40,R4
272,40,R4
273,40,R4
274,40,R4
275,40,R4
276,40,R4
277,40,R4
278,40,R4
279,40,R4
280,40,R4
281,40,R4
282,40,R4
283,40,R4
284,40,R4
285,40,R4
286,40,R4
287,40,R4
288,40,R4
289,40,R4
290,40,R4
291,40,R4
292,40,R4
293,40,R4
294,40,R4
295,40,R4
296,40,R4
297,40,R4
298,40,R4
299,40,R4
300,40,R4
301,40,R4
302,40,R4
303,40,R4
304,40,R4
305,40,R4
306,40,R4
307,40,R4
308,40,R4
309,40,R4
310,40,R4
311,40,R4
312,40,R4
313,40,R4
314,40,R4
315,40,R4
316,40,R4
317,40,R4
318,40,R4
319,40,R4
320,40,R4
321,40,R4
322,40,R4
323,40,R4
324,39,R2
325,39,R2
326,39,R3
327,39,R2
328,39,R2
329,39,R3
330,39,R2
331,39,R2
332,39,R2
333,39,R3
334,39,R3
335,39,R3
336,39,R2
337,39,R3
338,39,R2
339,39,R2
340,39,R2
341,39,R2
342,39,R2
343,39,R2
344,39,R2
345,39,R2
346,39,R2
347,39,R3
348,39,R3
349,39,R3
350,39,R3
351,39,R3
352,39,R3
353,39,R3
354,39,R3
355,39,R3
356,39,R3
357,39,R3
358,39,R2
359,39,R2
360,39,R1
361,39,R1
362,39,R3
363,39,R4
364,39,R4
365,39,R4
366,39,R4
367,39,R4
368,39,R4
369,39,R4
370,39,R4
371,39,R4
372,39,R4
373,39,R4
374,39,R4
375,39,R2
376,39,R1
377,39,R2
378,39,R2
379,39,R2
380,39,R3
381,39,R3
382,39,R3
383,39,R2
384,39,R2
385,39,R2
386,39,R2
387,39,R2
388,39,R2
389,39,R2
390,39,R2
391,39,R2
392,39,R2
393,39,R2
394,39,R2
395,39,R2
396,39,R4
397,39,R4
398,39,R2
399,39,R2
400,39,R1
401,39,R1
402,39,R1
403,39,R1
