index,marker,R1,R2,R3,R4
0,41,YELLOW,YELLOW,YELLOW,RED
1,41,YELLOW,RED,YELLOW,YELLOW
2,41,YELLOW,RED,YELLOW,YELLOW
3,41,GREEN,GREEN,GREEN,GREEN
4,41,GREEN,GREEN,GREEN,GREEN
5,41,GREEN,GREEN,GREEN,GREEN
6,41,GREEN,GREEN,GREEN,GREEN
7,41,GREEN,GREEN,GREEN,GREEN
8,41,GREEN,GREEN,GREEN,GREEN
9,41,GREEN,GREEN,GREEN,GREEN
10,41,GREEN,GREEN,GREEN,GREEN
11,41,GREEN,GREEN,GREEN,GREEN
12,41,GREEN,GREEN,GREEN,GREEN
13,41,GREEN,GREEN,GREEN,GREEN
14,41,GREEN,GREEN,GREEN,GREEN
15,41,GREEN,GREEN,GREEN,GREEN
16,41,GREEN,GREEN,GREEN,GREEN
17,41,GREEN,GREEN,GREEN,GREEN
18,41,GREEN,GREEN,GREEN,GREEN
19,41,GREEN,GREEN,GREEN,GREEN
20,41,GREEN,GREEN,GREEN,GREEN
21,41,GREEN,GREEN,GREEN,GREEN
22,41,GREEN,GREEN,GREEN,GREEN
23,41,GREEN,GREEN,GREEN,GREEN
24,41,GREEN,GREEN,GREEN,GREEN
25,41,GREEN,GREEN,GREEN,GREEN
26,41,GREEN,GREEN,GREEN,GREEN
27,41,GREEN,GREEN,GREEN,GREEN
28,41,GREEN,GREEN,GREEN,GREEN
29,41,GREEN,GREEN,GREEN,GREEN
30,41,GREEN,GREEN,GREEN,GREEN
31,41,GREEN,GREEN,GREEN,GREEN
32,41,GREEN,GREEN,GREEN,GREEN
33,41,GREEN,GREEN,GREEN,GREEN
34,41,GREEN,GREEN,GREEN,GREEN
35,41,GREEN,GREEN,GREEN,GREEN
36,41,GREEN,GREEN,GREEN,GREEN
37,41,GREEN,GREEN,GREEN,GREEN
38,41,GREEN,GREEN,GREEN,GREEN
39,41,GREEN,GREEN,GREEN,GREEN
40,41,GREEN,GREEN,GREEN,GREEN
41,41,GREEN,GREEN,GREEN,GREEN
42,41,GREEN,GREEN,GREEN,GREEN
43,41,GREEN,GREEN,GREEN,GREEN
44,41,GREEN,GREEN,GREEN,GREEN
45,41,GREEN,GREEN,GREEN,GREEN
46,41,GREEN,GREEN,GREEN,GREEN
47,41,GREEN,GREEN,GREEN,GREEN
48,41,GREEN,GREEN,GREEN,GREEN
49,41,GREEN,GREEN,GREEN,GREEN
50,41,GREEN,GREEN,GREEN,GREEN
51,41,GREEN,GREEN,GREEN,GREEN
52,41,GREEN,GREEN,GREEN,GREEN
53,41,GREEN,GREEN,GREEN,GREEN
54,41,GREEN,GREEN,GREEN,GREEN
55,41,GREEN,GREEN,GREEN,GREEN
56,41,GREEN,GREEN,GREEN,GREEN
57,41,GREEN,GREEN,GREEN,GREEN
58,41,GREEN,GREEN,GREEN,GREEN
59,41,GREEN,GREEN,GREEN,GREEN
60,41,GREEN,GREEN,GREEN,GREEN
61,41,GREEN,GREEN,GREEN,GREEN
62,41,GREEN,GREEN,GREEN,GREEN
63,41,GREEN,GREEN,GREEN,GREEN
64,41,GREEN,GREEN,GREEN,GREEN
65,41,GREEN,GREEN,GREEN,GREEN
66,41,GREEN,GREEN,GREEN,GREEN
67,41,GREEN,GREEN,GREEN,GREEN
68,41,GREEN,GREEN,GREEN,GREEN
69,41,GREEN,GREEN,GREEN,GREEN
70,41,GREEN,GREEN,GREEN,GREEN
71,41,GREEN,GREEN,GREEN,GREEN
72,41,GREEN,GREEN,GREEN,GREEN
73,41,GREEN,GREEN,GREEN,GREEN
74,41,GREEN,GREEN,GREEN,GREEN
75,41,GREEN,GREEN,GREEN,GREEN
76,41,GREEN,GREEN,GREEN,GREEN
77,41,GREEN,GREEN,GREEN,GREEN
78,41,GREEN,GREEN,GREEN,GREEN
79,41,GREEN,GREEN,GREEN,GREEN
80,41,GREEN,GREEN,GREEN,GREEN
81,41,GREEN,GREEN,GREEN,GREEN
82,41,GREEN,GREEN,GREEN,GREEN
83,41,GREEN,GREEN,GREEN,GREEN
84,41,GREEN,GREEN,GREEN,GREEN
85,41,GREEN,GREEN,GREEN,GREEN
86,41,GREEN,GREEN,GREEN,GREEN
87,41,GREEN,GREEN,GREEN,GREEN
88,41,GREEN,GREEN,GREEN,GREEN
89,41,GREEN,GREEN,GREEN,GREEN
90,41,GREEN,GREEN,GREEN,GREEN
91,41,GREEN,GREEN,GREEN,GREEN
92,41,GREEN,GREEN,GREEN,GREEN
93,41,GREEN,GREEN,GREEN,GREEN
94,41,GREEN,GREEN,GREEN,GREEN
95,41,GREEN,GREEN,GREEN,GREEN
96,41,GREEN,GREEN,GREEN,GREEN
97,41,GREEN,GREEN,GREEN,GREEN
98,41,GREEN,GREEN,GREEN,GREEN
99,41,GREEN,GREEN,GREEN,GREEN
100,41,GREEN,GREEN,GREEN,GREEN
101,41,GREEN,GREEN,GREEN,GREEN
102,41,GREEN,GREEN,GREEN,GREEN
103,41,GREEN,GREEN,GREEN,GREEN
104,41,GREEN,GREEN,GREEN,GREEN
105,41,GREEN,GREEN,GREEN,GREEN
106,41,GREEN,GREEN,GREEN,GREEN
107,41,GREEN,GREEN,GREEN,GREEN
108,41,GREEN,GREEN,GREEN,GREEN
109,41,GREEN,GREEN,GREEN,GREEN
110,41,GREEN,GREEN,GREEN,GREEN
111,41,GREEN,GREEN,GREEN,GREEN
112,41,GREEN,GREEN,GREEN,GREEN
113,41,GREEN,GREEN,GREEN,GREEN
114,41,GREEN,GREEN,GREEN,GREEN
115,41,GREEN,GREEN,GREEN,GREEN
116,41,GREEN,GREEN,GREEN,GREEN
117,41,GREEN,GREEN,GREEN,GREEN
118,41,GREEN,GREEN,GREEN,GREEN
119,41,GREEN,GREEN,GREEN,GREEN
120,41,GREEN,GREEN,GREEN,GREEN
121,41,GREEN,GREEN,GREEN,GREEN
122,41,GREEN,GREEN,GREEN,GREEN
123,41,GREEN,GREEN,GREEN,GREEN
124,41,GREEN,GREEN,GREEN,GREEN
125,41,GREEN,GREEN,GREEN,GREEN
126,41,GREEN,GREEN,GREEN,GREEN
127,41,GREEN,GREEN,GREEN,GREEN
128,41,GREEN,GREEN,GREEN,GREEN
129,41,GREEN,GREEN,GREEN,GREEN
130,41,GREEN,GREEN,GREEN,GREEN
131,41,GREEN,GREEN,GREEN,GREEN
132,41,GREEN,GREEN,GREEN,GREEN
133,41,GREEN,GREEN,GREEN,GREEN
134,41,GREEN,GREEN,GREEN,GREEN
135,41,GREEN,GREEN,GREEN,GREEN
136,41,GREEN,GREEN,GREEN,GREEN
137,41,GREEN,GREEN,GREEN,GREEN
138,41,GREEN,GREEN,GREEN,GREEN
139,41,GREEN,GREEN,GREEN,GREEN
140,41,GREEN,GREEN,GREEN,GREEN
141,41,GREEN,GREEN,GREEN,GREEN
142,41,GREEN,GREEN,GREEN,GREEN
143,41,GREEN,GREEN,GREEN,GREEN
144,41,YELLOW,YELLOW,YELLOW,RED
145,41,YELLOW,YELLOW,YELLOW,RED
146,41,YELLOW,YELLOW,RED,YELLOW
147,41,YELLOW,RED,YELLOW,YELLOW
148,41,GREEN,GREEN,GREEN,GREEN
149,41,GREEN,GREEN,GREEN,GREEN
150,41,GREEN,GREEN,GREEN,GREEN
151,41,GREEN,GREEN,GREEN,GREEN
152,41,GREEN,GREEN,GREEN,GREEN
153,41,GREEN,GREEN,GREEN,GREEN
154,41,GREEN,GREEN,GREEN,GREEN
155,41,GREEN,GREEN,GREEN,GREEN
156,41,GREEN,GREEN,GREEN,GREEN
157,41,GREEN,GREEN,GREEN,GREEN
158,41,GREEN,GREEN,GREEN,GREEN
159,41,GREEN,GREEN,GREEN,GREEN
160,41,GREEN,GREEN,GREEN,GREEN
161,41,GREEN,GREEN,GREEN,GREEN
162,41,GREEN,GREEN,GREEN,GREEN
163,41,GREEN,GREEN,GREEN,GREEN
164,41,GREEN,GREEN,GREEN,GREEN
165,41,GREEN,GREEN,GREEN,GREEN
166,41,GREEN,GREEN,GREEN,GREEN
167,41,GREEN,GREEN,GREEN,GREEN
168,41,GREEN,GREEN,GREEN,GREEN
169,41,GREEN,GREEN,GREEN,GREEN
170,41,GREEN,GREEN,GREEN,GREEN
171,41,GREEN,GREEN,GREEN,GREEN
172,41,GREEN,GREEN,GREEN,GREEN
173,41,GREEN,GREEN,GREEN,GREEN
174,41,GREEN,GREEN,GREEN,GREEN
175,41,GREEN,GREEN,GREEN,GREEN
176,41,GREEN,GREEN,GREEN,GREEN
177,41,GREEN,GREEN,GREEN,GREEN
178,41,GREEN,GREEN,GREEN,GREEN
179,41,GREEN,GREEN,GREEN,GREEN
180,41,GREEN,GREEN,GREEN,GREEN
181,41,GREEN,GREEN,GREEN,GREEN
182,41,GREEN,GREEN,GREEN,GREEN
183,41,GREEN,GREEN,GREEN,GREEN
184,41,GREEN,GREEN,GREEN,GREEN
185,41,GREEN,GREEN,GREEN,GREEN
186,41,GREEN,GREEN,GREEN,GREEN
187,41,GREEN,GREEN,GREEN,GREEN
188,41,GREEN,GREEN,GREEN,GREEN
189,41,YELLOW,YELLOW,YELLOW,YELLOW
190,41,YELLOW,YELLOW,YELLOW,YELLOW
191,41,GREEN,GREEN,GREEN,GREEN
192,41,GREEN,GREEN,GREEN,GREEN
193,41,GREEN,GREEN,GREEN,GREEN
194,41,GREEN,GREEN,GREEN,GREEN
195,41,GREEN,GREEN,GREEN,GREEN
196,41,GREEN,GREEN,GREEN,GREEN
197,41,GREEN,GREEN,GREEN,GREEN
198,41,GREEN,GREEN,GREEN,GREEN
199,41,GREEN,GREEN,GREEN,GREEN
200,41,GREEN,GREEN,GREEN,GREEN
201,41,GREEN,GREEN,GREEN,GREEN
202,41,GREEN,GREEN,GREEN,GREEN
203,41,GREEN,GREEN,GREEN,GREEN
204,41,GREEN,GREEN,GREEN,GREEN
205,41,GREEN,GREEN,GREEN,GREEN
206,41,GREEN,GREEN,GREEN,GREEN
207,41,GREEN,GREEN,GREEN,GREEN
208,41,GREEN,GREEN,GREEN,GREEN
209,41,GREEN,GREEN,GREEN,GREEN
210,41,GREEN,GREEN,GREEN,GREEN
211,41,GREEN,GREEN,GREEN,GREEN
212,41,GREEN,GREEN,GREEN,GREEN
213,41,GREEN,GREEN,GREEN,GREEN
214,41,GREEN,GREEN,GREEN,GREEN
215,41,GREEN,GREEN,GREEN,GREEN
216,41,GREEN,GREEN,GREEN,GREEN
217,41,GREEN,GREEN,GREEN,GREEN
218,41,GREEN,GREEN,GREEN,GREEN
219,41,GREEN,GREEN,GREEN,GREEN
220,41,GREEN,GREEN,GREEN,GREEN
221,41,GREEN,GREEN,GREEN,GREEN
222,41,GREEN,GREEN,GREEN,GREEN
223,41,GREEN,GREEN,GREEN,GREEN
224,41,GREEN,GREEN,GREEN,GREEN
225,41,GREEN,GREEN,GREEN,GREEN
226,41,GREEN,GREEN,GREEN,GREEN
227,41,GREEN,GREEN,GREEN,GREEN
228,41,GREEN,GREEN,GREEN,GREEN
229,41,GREEN,GREEN,GREEN,GREEN
230,41,GREEN,GREEN,GREEN,GREEN
231,41,GREEN,GREEN,GREEN,GREEN
232,41,GREEN,GREEN,GREEN,GREEN
233,41,GREEN,GREEN,GREEN,GREEN
234,41,GREEN,GREEN,GREEN,GREEN
235,41,GREEN,GREEN,GREEN,GREEN
236,41,GREEN,GREEN,GREEN,GREEN
237,41,GREEN,GREEN,GREEN,GREEN
238,41,GREEN,GREEN,GREEN,GREEN
239,41,GREEN,GREEN,GREEN,GREEN
240,41,GREEN,GREEN,GREEN,GREEN
241,41,GREEN,GREEN,GREEN,GREEN
242,41,GREEN,GREEN,GREEN,GREEN
243,41,GREEN,GREEN,GREEN,GREEN
244,41,GREEN,GREEN,GREEN,GREEN
245,41,GREEN,GREEN,GREEN,GREEN
246,41,GREEN,GREEN,GREEN,GREEN
247,41,GREEN,GREEN,GREEN,GREEN
248,41,GREEN,GREEN,GREEN,GREEN
249,41,GREEN,GREEN,GREEN,GREEN
250,41,GREEN,GREEN,GREEN,GREEN
251,41,GREEN,GREEN,GREEN,GREEN
252,41,GREEN,GREEN,GREEN,GREEN
253,41,GREEN,GREEN,GREEN,GREEN
254,41,GREEN,GREEN,GREEN,GREEN
255,41,GREEN,GREEN,GREEN,GREEN
256,41,GREEN,GREEN,GREEN,GREEN
257,41,GREEN,GREEN,GREEN,GREEN
258,41,GREEN,GREEN,GREEN,GREEN
259,41,GREEN,GREEN,GREEN,GREEN
260,41,GREEN,GREEN,GREEN,GREEN
261,41,GREEN,GREEN,GREEN,GREEN
262,41,GREEN,GREEN,GREEN,GREEN
263,41,GREEN,GREEN,GREEN,GREEN
264,41,GREEN,GREEN,GREEN,GREEN
265,41,GREEN,GREEN,GREEN,GREEN
266,41,GREEN,GREEN,GREEN,GREEN
267,41,GREEN,GREEN,GREEN,GREEN
268,41,GREEN,GREEN,GREEN,GREEN
269,41,GREEN,GREEN,GREEN,GREEN
270,40,GREEN,GREEN,GREEN,YELLOW
271,40,GREEN,GREEN,GREEN,GREEN
272,40,GREEN,GREEN,GREEN,GREEN
273,40,GREEN,GREEN,GREEN,GREEN
274,40,GREEN,GREEN,GREEN,GREEN
275,40,GREEN,GREEN,GREEN,GREEN
276,40,GREEN,GREEN,GREEN,GREEN
277,40,GREEN,GREEN,GREEN,GREEN
278,40,GREEN,GREEN,GREEN,GREEN
279,40,GREEN,GREEN,GREEN,GREEN
280,40,GREEN,GREEN,GREEN,GREEN
