R1,R2,R3,R4,marker
RED,RED,RED,RED,41
RED,RED,RED,RED,41
RED,RED,RED,RED,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,YELLOW,YELLOW,GREEN,41
YELLOW,YELLOW,YELLOW,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
RED,RED,RED,RED,41
RED,RED,RED,RED,41
RED,RED,RED,RED,41
RED,RED,RED,RED,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
RED,RED,RED,RED,41
RED,RED,RED,RED,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,YELLOW,GREEN,GREEN,41
GREEN,GREEN,YELLOW,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
GREEN,GREEN,GREEN,GREEN,41
YELLOW,YELLOW,YELLOW,RED,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
YELLOW,YELLOW,RED,RED,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
GREEN,GREEN,GREEN,GREEN,40
RED,RED,RED,RED,39
YELLOW,RED,RED,YELLOW,39
YELLOW,YELLOW,YELLOW,YELLOW,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
YELLOW,RED,RED,YELLOW,39
YELLOW,RED,RED,YELLOW,39
YELLOW,RED,RED,YELLOW,39
RED,RED,RED,RED,39
RED,RED,RED,RED,39
RED,RED,RED,RED,39
YELLOW,RED,RED,YELLOW,39
YELLOW,YELLOW,YELLOW,YELLOW,39
YELLOW,YELLOW,YELLOW,YELLOW,39
YELLOW,YELLOW,YELLOW,YELLOW,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
GREEN,GREEN,GREEN,GREEN,39
