R1,R2,R3,R4
ALERT,ALERT,ALERT,ALERT
ALERT,ALERT,ALERT,ALERT
ALERT,ALERT,ALERT,ALERT
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
GREEN,GREEN,GREEN,GREEN
